exp_name,dataset,method,order,seed,lr,task,tasks,task_learning_flops,core_training_flops,learning_auxiliary_flops,cumulative_learning_flops,terminal_epoch_flops,terminal_epoch_samples,terminal_flops_per_sample,summary_file,log_file
texture-all-4,texture,tagfex,1,52,0.1,3,4,10253368451252878,9068810913572190,1184557537680688,18392606490447336,591153920710534,719,822189041322.0222,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-052.log
texture-all-4,texture,tagfex,1,52,0.1,4,4,15197719921198585,13579343162730604,1618376758467981,33590326411645921,899609802271893,960,937093544033.2219,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-052.log
texture-all-4,texture,tagfex,1,53,0.01,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-053.log
texture-all-4,texture,tagfex,1,53,0.01,2,4,5977099244365784,5219163725840352,757935518525432,8139238038824026,333130976606648,471,707284451394.1571,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-053.log
texture-all-4,texture,tagfex,1,53,0.01,3,4,10253368450774802,9068810913094114,1184557537680688,18392606489598828,591153920665824,719,822189041259.8386,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-053.log
texture-all-4,texture,tagfex,1,53,0.01,4,4,15197719920722291,13579343162254310,1618376758467981,33590326410321119,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-053.log
texture-all-4,texture,tagfex,1,53,0.05,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-053.log
texture-all-4,texture,tagfex,1,53,0.05,2,4,5977099244449614,5219163725924182,757935518525432,8139238038907856,333130976606648,471,707284451394.1571,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-053.log
texture-all-4,texture,tagfex,1,53,0.05,3,4,10253368450964064,9068810913283376,1184557537680688,18392606489871920,591153920665824,719,822189041259.8386,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-053.log
texture-all-4,texture,tagfex,1,53,0.05,4,4,15197719920643655,13579343162175674,1618376758467981,33590326410515575,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-053.log
