exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,best_lr,best_loss,total_search_flops,selection_loss,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,intransigence_reference_lr,intransigence_reference_file
texture-all-4,ewc,texture,1,55,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.3477390086997099,6955656673461822,0.4333819477389957,44699952,4,0,0.453597718317701,0.1625,0.8600936100936102,0.8600936100936102,-0.8600936100936102,1,0.8600936100936102,0.9841269841269841,0.1867460618052582,0.5961538461538461,0.7901404151404151,0.9920634920634921,1.0,1.0,"[1.0,0.4806201550387597,0.1712707182320442,0.1625]","[1.0,0.9841269841269841,0.5961538461538461]","[-0.6666666666666667,-0.4444444444444444,0.2692307692307693,0.3220338983050848]",-0.12996161089381428,512,114.09989837798639,114110.67578125,18.384236118989065,95.71566225899733,31.90522075299911,32.60616050301178,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8221989541804456,10411.794921875,0.1,
texture-all-4,ewc,texture,1,55,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.3477390086997099,6955656673461822,0.38937006352848036,44699952,4,0,0.50433289434237,0.24166666666666667,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.4883720930232558,0.287292817679558,0.24166666666666667]","[1.0,1.0,1.0]","[-0.6666666666666667,-0.46031746031746035,-0.13461538461538458,0.0]",-0.3153998778998779,512,113.11470548399666,113125.326171875,18.24767687599524,94.86702860800142,31.622342869333806,32.395778852995136,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8153411666474616,10411.794921875,0.1,
texture-all-4,ewc,texture,1,56,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.3287611586424325,6955656673461822,0.3287611586424325,44699952,4,0,0.33051990984624613,0.22083333333333333,0.7724867724867724,0.7724867724867724,-0.7724867724867724,3,0.7724867724867724,0.9841269841269841,0.31059598140612005,0.3333333333333333,0.6587301587301587,0.9920634920634921,1.0,1.0,"[0.3333333333333333,0.4806201550387597,0.287292817679558,0.22083333333333333]","[0.3333333333333333,0.9841269841269841,1.0]","[0.6363636363636365,-0.6825396825396826,-0.15384615384615385,0.10169491525423724]",-0.024581821191990677,512,113.1072245160176,113119.962890625,17.975194566999562,95.13202994901803,31.710676649672678,32.33946026400372,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8577001875285836,10411.79541015625,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order1/joint_texture_ewc__order-1__seed-056.json
texture-all-4,ewc,texture,1,56,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.3287611586424325,6955656673461822,0.7324272013304145,44699952,4,0,0.21580760466673676,0.09583333333333334,0.401986901986902,0.401986901986902,-0.401986901986902,1,0.401986901986902,0.42857142857142855,0.0687576925058995,0.3076923076923077,0.36813186813186816,0.44913419913419916,0.4696969696969697,1.0,"[0.4696969696969697,0.20930232558139536,0.08839779005524862,0.09583333333333334]","[0.4696969696969697,0.42857142857142855,0.3076923076923077]","[0.5,-0.12698412698412698,0.5384615384615384,0.6101694915254237]",0.3804117257507088,512,114.58955283901014,114601.310546875,18.227913005001028,96.36163983400911,32.12054661133637,32.37063558900263,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.845931099987259,10411.79541015625,0.1,
texture-all-4,ewc,texture,1,56,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.3287611586424325,6955656673461822,0.3857233200330457,44699952,4,0,0.5032912276757034,0.2375,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.4883720930232558,0.287292817679558,0.2375]","[1.0,1.0,1.0]","[-0.030303030303030276,-0.6984126984126984,-0.15384615384615385,0.03389830508474578]",-0.21216589436928418,512,113.84620832199289,113854.345703125,18.277726425993023,95.56848189599987,31.856160631999956,32.36131664700224,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8603877082350664,10411.79541015625,0.1,
texture-all-4,ewc,texture,2,52,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.09671887926390914,6955656662976858,0.48978024134870435,44699952,4,0,0.5098731884057971,0.14166666666666666,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.14166666666666666]","[1.0,1.0,1.0]","[0.0,-0.33333333333333337,0.0,0.2678571428571429]",-0.016369047619047616,512,115.1095238289854,115120.8828125,19.05295262800064,96.05657120098476,32.01885706699492,32.041386650991626,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8317742748962095,10412.435546875,0.01,
texture-all-4,ewc,texture,2,52,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.09671887926390914,6955656662976858,0.3191510233722749,44699952,4,0,0.5169384057971015,0.19166666666666668,0.9791666666666666,0.9791666666666666,-0.9791666666666666,1,0.9791666666666666,1.0,0.02946278254943948,0.9375,0.96875,1.0,1.0,1.0,"[1.0,0.55,0.32608695652173914,0.19166666666666668]","[1.0,1.0,0.9375]","[0.0,-0.33333333333333337,0.0625,0.0535714285714286]",-0.05431547619047619,512,115.0242920640012,115034.677734375,18.775793747001444,96.24849831699976,32.082832772333255,31.91816078100237,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8669596500719005,10412.435546875,0.01,
texture-all-4,ewc,texture,2,52,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.09671887926390914,6955656662976858,0.09671887926390914,44699952,4,0,0.5224637681159421,0.20833333333333334,0.984375,0.984375,-0.984375,1,0.984375,1.0,0.02209708691207961,0.953125,0.9765625,1.0,1.0,1.0,"[1.0,0.55,0.33152173913043476,0.20833333333333334]","[1.0,1.0,0.953125]","[0.0,-0.33333333333333337,0.046875,-0.017857142857142905]",-0.07607886904761907,512,114.07308779397863,114083.61328125,18.624423278990434,95.4486645149882,31.816221504996065,31.998081754994928,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8644156874652253,10412.435546875,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order2/joint_texture_ewc__order-2__seed-052.json
texture-all-4,ewc,texture,2,53,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.05758341988090609,6955656662976858,1.2480637440915967,44699952,4,0,0.4760768921095008,0.11666666666666667,0.9382716049382717,0.9382716049382717,-0.9382716049382717,3,0.9382716049382717,0.9814814814814815,0.07458670354070722,0.8333333333333334,0.9074074074074074,0.9907407407407407,1.0,1.0,"[0.9814814814814815,0.4583333333333333,0.34782608695652173,0.11666666666666667]","[0.9814814814814815,0.8333333333333334,1.0]","[0.01851851851851849,0.12121212121212122,-0.09375,0.5]",0.13649515993265993,512,113.84632821801642,113852.859375,19.152253624997684,94.69407459301874,31.564691531006247,31.539614924011403,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8480346708286864,10412.435546875,0.01,
texture-all-4,ewc,texture,2,53,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.05758341988090609,6955656662976858,0.48527928844827123,44699952,4,0,0.48840579710144927,0.23333333333333334,0.8445391414141414,0.8445391414141414,-0.8445391414141414,1,0.8445391414141414,0.9242424242424242,0.1691378779309037,0.609375,0.7668087121212122,0.9621212121212122,1.0,1.0,"[1.0,0.5083333333333333,0.21195652173913043,0.23333333333333334]","[1.0,0.9242424242424242,0.609375]","[0.0,0.030303030303030387,0.296875,0.0]",0.0817945075757576,512,114.05914941096853,114069.376953125,18.468561392990523,95.590588017978,31.863529339326004,31.61400759399112,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8359092541771437,10412.43505859375,0.01,
