exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-all,ewc,uwave,3,48,resnet18_cifar,0.1,6,0.026168618698582044,355.17876009701286,356134.90625,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03493509016802169,500.43701171875,0.9911764705882353,0.9921259842519685,0.98,0.963963963963964,0.9636363636363636,1.0
uwave-all,ewc,uwave,3,50,resnet18_cifar,0.05,6,0.0003728735907612205,355.0671694090124,356014.5625,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03621403448050842,500.43701171875,0.9970588235294118,0.9921259842519685,1.0,0.972972972972973,0.9727272727272728,1.0
uwave-all,ewc,uwave,3,52,resnet18_cifar,0.1,6,0.022078430879131035,355.43410134408623,356376.75,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03697730815994354,500.43701171875,0.9882352941176471,0.9763779527559056,0.84,0.963963963963964,0.9545454545454546,1.0
uwave-all,ewc,uwave,3,54,resnet18_cifar,0.01,6,0.0006386513156763843,361.08806923101656,362620.28125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.036422111536791944,500.43701171875,0.9941176470588236,0.9921259842519685,0.99,0.972972972972973,0.9636363636363636,1.0
uwave-all,ewc,uwave,3,56,resnet18_cifar,0.1,6,0.015442011934574559,354.20215278398246,355156.8125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03495162166343237,500.43701171875,0.9882352941176471,0.9921259842519685,0.99,0.9819819819819819,0.9363636363636364,1.0
uwave-all,icarl,uwave,1,48,resnet18_cifar,0.05,6,0.0008207853981622639,353.8678517760709,354835.65625,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03433534922286136,501.556640625,0.9693593314763231,1.0,0.9459459459459459,0.9905660377358491,0.99,1.0
uwave-all,icarl,uwave,1,50,resnet18_cifar,0.05,6,0.0007239883544057658,355.18672194588,356208.4375,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03557875788828824,501.556640625,0.9721448467966574,1.0,0.9369369369369369,1.0,1.0,1.0
uwave-all,icarl,uwave,1,52,resnet18_cifar,0.05,6,0.003837161706254824,355.296318550827,356306.21875,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03587100257261357,501.556640625,0.9693593314763231,1.0,0.954954954954955,1.0,1.0,1.0
uwave-all,icarl,uwave,1,54,resnet18_cifar,0.05,6,0.0005900350262067477,357.54893810208887,358587.21875,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.038938771077872456,501.556640625,0.9777158774373259,1.0,0.9279279279279279,1.0,1.0,1.0
uwave-all,icarl,uwave,1,56,resnet18_cifar,0.05,6,0.002661597776868381,358.5542456608964,359585.90625,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03517689427618669,501.556640625,0.9805013927576601,1.0,0.9099099099099099,1.0,0.99,1.0
uwave-all,icarl,uwave,2,48,resnet18_cifar,0.05,6,0.0052282323056609915,362.3928365180036,363383.09375,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.035466417622436505,501.556640625,0.9908814589665653,0.9672131147540983,0.99,1.0,0.9818181818181818,0.9606299212598425
uwave-all,icarl,uwave,2,50,resnet18_cifar,0.05,6,0.00031154889377829316,373.27244776510634,374878.4375,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.034566336840466,501.556640625,0.9908814589665653,0.9836065573770492,0.99,1.0,0.9818181818181818,0.9763779527559056
uwave-all,icarl,uwave,2,52,resnet18_cifar,0.05,6,0.0004286625896421137,363.5066130909836,364524.1875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03470304337887293,501.556640625,0.9422492401215805,0.9836065573770492,0.99,1.0,0.9818181818181818,0.968503937007874
uwave-all,icarl,uwave,2,54,resnet18_cifar,0.05,6,0.0032067165831598573,363.2344175451435,364236.875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03442146420898747,501.556640625,0.9848024316109423,0.9918032786885246,1.0,1.0,0.9818181818181818,0.952755905511811
uwave-all,icarl,uwave,2,56,resnet18_cifar,0.05,6,0.02348708846236593,364.84101354610175,365849.5625,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03440055466593809,501.556640625,0.9908814589665653,0.9508196721311475,1.0,1.0,0.990909090909091,0.9291338582677166
