exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-5method,icarl,uwave,2,64,resnet18_cifar,0.01,6,0.0006159950714113242,470.3987327889772,471416.53125,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0568663346192417,500.556640625,0.9968152866242038,1.0,0.952755905511811,0.9819819819819819,0.9636363636363636,0.9672131147540983
uwave-5method,icarl,uwave,2,65,resnet18_cifar,0.05,6,0.0003716042356946236,500.7793480589753,501835.65625,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05960353116409221,500.556640625,1.0,1.0,0.968503937007874,0.9819819819819819,0.9727272727272728,0.9672131147540983
uwave-5method,icarl,uwave,2,66,resnet18_cifar,0.05,6,0.0008501855363743821,496.3575259008794,497403.09375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05370301992765495,500.556640625,0.9904458598726115,0.9910714285714286,1.0,0.9819819819819819,0.9818181818181818,0.9754098360655737
uwave-5method,icarl,uwave,3,62,resnet18_cifar,0.01,6,0.0006464922694449839,491.0750289490679,492116.03125,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.051272689688630635,503.57421875,1.0,0.9459459459459459,1.0,1.0,0.9672131147540983,0.984251968503937
uwave-5method,icarl,uwave,3,63,resnet18_cifar,0.01,6,0.0005886227017336659,482.0768162010354,483126.9375,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.048093094846990425,503.57421875,1.0,0.954954954954955,1.0,1.0,0.9672131147540983,0.984251968503937
uwave-5method,icarl,uwave,3,64,resnet18_cifar,0.01,6,0.0006440634168304882,474.69814739807043,475704.625,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.047101064735345845,503.57421875,1.0,0.9459459459459459,1.0,1.0,0.9672131147540983,0.984251968503937
uwave-5method,icarl,uwave,3,65,resnet18_cifar,0.05,6,0.0004947917925625897,484.3070334160002,485321.40625,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04762418413000497,503.57421875,1.0,0.963963963963964,0.99,1.0,0.9836065573770492,0.9763779527559056
uwave-5method,icarl,uwave,3,66,resnet18_cifar,0.05,6,0.0003559571828950292,458.75615775497863,460359.125,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04388930925155624,503.57421875,0.9969135802469136,0.972972972972973,1.0,1.0,0.9754098360655737,0.9921259842519685
uwave-5method,er_ace,uwave,1,62,resnet18_cifar,0.05,6,0.00044626548738358726,445.4309766689548,446707.4375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04435436812855187,503.06201171875,0.9941348973607038,1.0,1.0,1.0,0.9727272727272728,0.9905660377358491
uwave-5method,er_ace,uwave,1,63,resnet18_cifar,0.05,6,0.00046830975154434534,446.91655476402957,448070.6875,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.041638806838558855,503.06201171875,0.9912023460410557,1.0,1.0,1.0,0.9545454545454546,0.9905660377358491
uwave-5method,er_ace,uwave,1,64,resnet18_cifar,0.05,6,0.0005690167692936083,452.10337184590753,453260.59375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04653898765484753,503.06201171875,0.9912023460410557,1.0,1.0,1.0,0.990909090909091,1.0
uwave-5method,er_ace,uwave,1,65,resnet18_cifar,0.05,6,0.00037324823843942366,448.5859983940027,449691.5,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04763529016470004,503.06201171875,0.9941348973607038,0.9921259842519685,1.0,1.0,0.9818181818181818,1.0
uwave-5method,er_ace,uwave,1,66,resnet18_cifar,0.05,6,0.007943701448432773,451.26138032984454,452404.03125,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04241078685091842,503.06201171875,0.9941348973607038,0.984251968503937,0.99,1.0,0.9727272727272728,1.0
uwave-5method,er_ace,uwave,2,62,resnet18_cifar,0.05,6,0.003376640406403938,462.14618980995147,463283.34375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04070504909187938,501.18701171875,0.9968152866242038,1.0,0.9921259842519685,0.954954954954955,0.9818181818181818,0.9508196721311475
uwave-5method,er_ace,uwave,2,63,resnet18_cifar,0.05,6,0.00043766502952535954,476.2119828679715,477371.25,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.047637476589963104,501.18701171875,1.0,1.0,0.9921259842519685,0.972972972972973,0.9636363636363636,0.9836065573770492
uwave-5method,er_ace,uwave,2,64,resnet18_cifar,0.05,6,0.0004384990924448534,463.9195801590686,465105.875,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0428949855242016,501.18701171875,0.9968152866242038,1.0,0.9606299212598425,0.9819819819819819,0.9636363636363636,0.9672131147540983
uwave-5method,er_ace,uwave,2,65,resnet18_cifar,0.05,6,0.0003716042356946236,461.4722628570162,462623.96875,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04626799214487879,501.18701171875,1.0,1.0,0.968503937007874,0.9819819819819819,0.9727272727272728,0.9672131147540983
uwave-5method,er_ace,uwave,2,66,resnet18_cifar,0.05,6,0.0008501855363743821,438.3808595240116,439486.84375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.044061059075569835,501.18701171875,0.9904458598726115,0.9910714285714286,1.0,0.9819819819819819,0.9818181818181818,0.9754098360655737
uwave-5method,er_ace,uwave,3,62,resnet18_cifar,0.05,6,0.00035089036895983737,450.48289729701355,451529.0625,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04391333933589132,501.82421875,1.0,0.9459459459459459,1.0,1.0,0.9754098360655737,0.984251968503937
