exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,selection_loss,best_lr,best_loss,total_search_flops,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib
uwave-all,ewc,uwave,1,54,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0004761166480654208,0.05,0.0004761166480654208,755491464912042,44691744,6,0,0.3017540015547852,0.12053571428571429,0.9961002785515319,0.9961002785515319,-0.9961002785515319,2,0.9961002785515319,1.0,0.0077994428969359484,0.9805013927576601,1.0,1.0,1.0,1.0,"[0.9805013927576601,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9805013927576601,1.0,1.0,1.0,1.0]","[-0.0027855153203342198,0.0,-0.07207207207207211,0.0,0.0,0.0]",-0.012476264565401055,512,262.8425513289403,262851.74609375,34.7960061019985,228.04654522694182,45.609309045388365,46.53744788700715,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03659943000197278,1133.21240234375
uwave-all,ewc,uwave,1,54,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0035723567552930486,0.05,0.0004761166480654208,755491464912042,44691744,6,0,0.3017540015547852,0.12053571428571429,0.9961002785515319,0.9961002785515319,-0.9961002785515319,2,0.9961002785515319,1.0,0.0077994428969359484,0.9805013927576601,1.0,1.0,1.0,1.0,"[0.9805013927576601,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9805013927576601,1.0,1.0,1.0,1.0]",,,512,263.8630935958354,263872.30859375,34.82171787391417,229.0413757219212,45.80827514438424,46.26487554505002,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.036006682941141274,1133.21240234375
uwave-all,ewc,uwave,1,56,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0007108570961487702,0.05,0.00021350748303338094,755491464912042,44691744,6,0,0.29943273878784,0.12053571428571429,0.9933147632311978,0.9933147632311978,-0.9933147632311978,2,0.9933147632311978,1.0,0.013370473537604479,0.9665738161559888,1.0,1.0,1.0,1.0,"[0.9665738161559888,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9665738161559888,1.0,1.0,1.0,1.0]",,,512,262.92334964417387,262932.73046875,34.58627632795833,228.33707331621554,45.66741466324311,46.483929842012,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.036581333655963784,1133.21240234375
uwave-all,ewc,uwave,1,56,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.00021350748303338094,0.05,0.00021350748303338094,755491464912042,44691744,6,0,0.30082549644800716,0.12053571428571429,0.9949860724233982,0.9949860724233982,-0.9949860724233982,2,0.9949860724233982,1.0,0.010027855153203325,0.9749303621169917,1.0,1.0,1.0,1.0,"[0.9749303621169917,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9749303621169917,1.0,1.0,1.0,1.0]","[0.0055710306406684396,0.0,-0.09009009009009006,0.0,-0.010000000000000009,0.0]",-0.015753176574903605,512,263.3117079549702,263320.91015625,34.67393478495069,228.6377731700195,45.7275546340039,46.42096307198517,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.0394735491551858,1133.21240234375
uwave-all,ewc,uwave,1,56,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.005211790838171687,0.05,0.00021350748303338094,755491464912042,44691744,6,0,0.3012897490013962,0.12053571428571429,0.9955431754874653,0.9955431754874653,-0.9955431754874653,2,0.9955431754874653,1.0,0.008913649025069637,0.9777158774373259,1.0,1.0,1.0,1.0,"[0.9777158774373259,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9777158774373259,1.0,1.0,1.0,1.0]",,,512,262.7811242368771,262790.353515625,35.151045073987916,227.63007916288916,45.52601583257783,46.187163360998966,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03685823789315431,1133.21240234375
uwave-all,ewc,uwave,2,48,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.03422097182094913,0.01,0.010205940909115876,755461271998773,44691744,6,0,0.2848629129070413,0.14174107142857142,0.9617021276595745,0.9617021276595745,-0.9617021276595745,2,0.9617021276595745,1.0,0.07659574468085108,0.8085106382978723,1.0,1.0,1.0,1.0,"[0.8085106382978723,0.270509977827051,0.18148820326678766,0.1638846737481032,0.14304291287386217,0.14174107142857142]","[0.8085106382978723,1.0,1.0,1.0,1.0]",,,512,256.6386882971274,256647.8671875,36.29690024792217,220.3417880492052,44.068357609841044,46.36347917607054,40144331310.185,251820423999591,239850764581638,11969659417953,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.051562908473507765,1130.58740234375
uwave-all,ewc,uwave,2,48,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.09387196486871732,0.01,0.010205940909115876,755461271998773,44691744,6,0,0.3061395086517222,0.14174107142857142,0.9872340425531915,0.9872340425531915,-0.9872340425531915,2,0.9872340425531915,1.0,0.02553191489361701,0.9361702127659575,1.0,1.0,1.0,1.0,"[0.9361702127659575,0.270509977827051,0.18148820326678766,0.1638846737481032,0.14304291287386217,0.14174107142857142]","[0.9361702127659575,1.0,1.0,1.0,1.0]",,,512,256.3061020640889,256315.21484375,36.494257541024126,219.8118445230648,43.96236890461296,46.30405642406549,40144331310.185,251820423999591,239850764581638,11969659417953,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03668730343114086,1130.58740234375
uwave-all,ewc,uwave,2,48,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.010205940909115876,0.01,0.010205940909115876,755461271998773,44691744,6,0,0.3152580496851568,0.14174107142857142,0.998176291793313,0.998176291793313,-0.998176291793313,2,0.998176291793313,1.0,0.003647416413373872,0.9908814589665653,1.0,1.0,1.0,1.0,"[0.9908814589665653,0.270509977827051,0.18148820326678766,0.1638846737481032,0.14304291287386217,0.14174107142857142]","[0.9908814589665653,1.0,1.0,1.0,1.0]","[0.003039513677811634,-0.024590163934426257,0.0,0.0,-0.018181818181818188,-0.015748031496062964]",-0.009246749989082629,512,257.2905078299809,257299.626953125,37.00696797098499,220.28353985899594,44.056707971799185,46.532681023934856,40144331310.185,251820423999591,239850764581638,11969659417953,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03665959385606194,1130.58740234375
uwave-all,ewc,uwave,2,50,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0014097904439641304,0.05,4.451059446684633e-05,755461271998773,44691744,6,0,0.3142448784592196,0.14174107142857142,0.9969604863221886,0.9969604863221886,-0.9969604863221886,2,0.9969604863221886,1.0,0.00607902735562309,0.9848024316109423,1.0,1.0,1.0,1.0,"[0.9848024316109423,0.270509977827051,0.18148820326678766,0.1638846737481032,0.14304291287386217,0.14174107142857142]","[0.9848024316109423,1.0,1.0,1.0,1.0]",,,512,256.72131495620124,256730.275390625,36.31489372998476,220.40642122621648,44.081284245243296,46.36167144298088,40144331310.185,251820423999591,239850764581638,11969659417953,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03837624223836299,1130.58740234375
uwave-all,ewc,uwave,2,50,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,4.451059446684633e-05,0.05,4.451059446684633e-05,755461271998773,44691744,6,0,0.31475146407218824,0.14174107142857142,0.9975683890577507,0.9975683890577507,-0.9975683890577507,2,0.9975683890577507,1.0,0.0048632218844984814,0.9878419452887538,1.0,1.0,1.0,1.0,"[0.9878419452887538,0.270509977827051,0.18148820326678766,0.1638846737481032,0.14304291287386217,0.14174107142857142]","[0.9878419452887538,1.0,1.0,1.0,1.0]","[0.003039513677811523,-0.016393442622950838,-0.010000000000000009,0.0,-0.018181818181818188,-0.023622047244094446]",-0.010859632395175326,512,256.3073656929191,256316.4765625,36.67530198500026,219.63206370791886,43.926412741583775,46.24028935900424,40144331310.185,251820423999591,239850764581638,11969659417953,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03720621641280429,1130.58740234375
