exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
texture-all,er_ace,texture,1,56,resnet18_cifar,0.05,10,0.0012392712233122438,235.80547799004125,237831.640625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4231391833551849,10093.25,0.9393939393939394,1.0,0.9411764705882353,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,er_ace,texture,2,52,resnet18_cifar,0.05,10,0.011572944609603534,243.06584228595602,245080.0,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4234348249156028,10092.7958984375,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,0.6956521739130435,1.0,0.9047619047619048,1.0
texture-all,er_ace,texture,2,53,resnet18_cifar,0.05,10,0.0031483288388699294,245.1924027550267,247238.40625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42471489153588965,10092.7958984375,1.0,0.8,1.0,1.0,1.0,1.0,0.391304347826087,0.7647058823529411,1.0,1.0
texture-all,er_ace,texture,2,54,resnet18_cifar,0.05,10,0.014473827423838277,253.57211519498378,255644.484375,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4239314125394837,10092.7958984375,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.47619047619047616,1.0
texture-all,er_ace,texture,2,55,resnet18_cifar,0.05,10,0.0027490651855866114,249.2712127600098,251334.5,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4249939833243843,10092.7958984375,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.11764705882352941,1.0,1.0
texture-all,er_ace,texture,2,56,resnet18_cifar,0.01,10,0.01793942324196299,247.81063271401217,249842.4375,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.424193296081891,10092.7958984375,1.0,0.08,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.1111111111111111
texture-all,er_ace,texture,3,52,resnet18_cifar,0.05,10,0.0014814594585914164,246.45159691598383,248509.140625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.426060762523169,10092.98583984375,1.0,1.0,0.0,1.0,1.0,0.8888888888888888,0.9130434782608695,1.0,1.0,1.0
texture-all,er_ace,texture,3,53,resnet18_cifar,0.05,10,0.00822936553352823,245.8406383979891,247886.359375,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4251609208343628,10092.98583984375,1.0,1.0,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.8,1.0
texture-all,er_ace,texture,3,54,resnet18_cifar,0.05,10,0.00624614378126959,247.29741674201796,250328.53125,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42549151633769117,10092.98583984375,1.0,1.0,0.0,1.0,1.0,1.0,0.7391304347826086,1.0,0.92,1.0
texture-all,er_ace,texture,3,55,resnet18_cifar,0.05,10,0.01427044291049242,249.8777467800246,251932.75,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42536241259464685,10092.98583984375,1.0,1.0,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.47619047619047616,1.0,1.0
texture-all,er_ace,texture,3,56,resnet18_cifar,0.05,10,0.02953319262402753,248.8564235579106,250910.21875,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42466341255931184,10092.98583984375,0.6557377049180327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0
texture-all,fecam,texture,1,52,resnet18_cifar,0.01,10,0.012312138670434554,311.91884616200696,314867.15625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.5006379041636441,10092.31494140625,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0
texture-all,fecam,texture,1,53,resnet18_cifar,0.05,10,0.00268083744449541,316.0827787700109,319119.3125,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.8862662876102453,10092.31494140625,1.0,1.0,1.0,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0
texture-all,fecam,texture,1,54,resnet18_cifar,0.1,10,0.009339644480496645,317.62158451401046,320357.71875,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.503364704006041,10092.31494140625,0.4696969696969697,0.0,0.5294117647058824,0.0,1.0,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0
texture-all,fecam,texture,1,55,resnet18_cifar,0.05,10,0.000915173813700676,311.85862552697654,314773.28125,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.500943041940142,10092.31494140625,0.8484848484848485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,fecam,texture,1,56,resnet18_cifar,0.01,10,0.00962253004933397,311.44273491206695,314345.28125,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.6374161332738973,10092.31494140625,1.0,1.0,0.29411764705882354,1.0,1.0,0.5,1.0,1.0,0.9411764705882353,1.0
texture-all,fecam,texture,2,52,resnet18_cifar,0.1,10,0.009486429866713782,313.87341174902394,316643.875,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.5023399832377132,10091.87109375,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,1.0,0.23529411764705882,0.8095238095238095,1.0
texture-all,fecam,texture,2,53,resnet18_cifar,0.05,10,0.0031483288388699294,325.0708434189728,327873.4375,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.5703738874823708,10091.87109375,1.0,0.8,1.0,1.0,1.0,1.0,0.391304347826087,0.7647058823529411,1.0,1.0
texture-all,fecam,texture,2,54,resnet18_cifar,0.1,10,0.008359025651589035,321.3638669080101,324112.125,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.5475409499922534,10091.87109375,0.8888888888888888,0.68,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.8571428571428571,1.0
texture-all,fecam,texture,2,55,resnet18_cifar,0.1,10,0.056168582290410995,317.9443861989712,320675.28125,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.5054333917845119,10091.87109375,0.9814814814814815,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2857142857142857,1.0
texture-all,fecam,texture,2,56,resnet18_cifar,0.1,10,0.035976620173702636,321.6862905610178,325312.75,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.5022311916642744,10091.87109375,0.9629629629629629,0.44,0.8947368421052632,1.0,1.0,1.0,0.9130434782608695,0.0,0.7619047619047619,0.6111111111111112
texture-all,fecam,texture,3,52,resnet18_cifar,0.05,10,0.0014814594585914164,326.20289562206017,329021.46875,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.596423458167313,10093.08056640625,1.0,1.0,0.0,1.0,1.0,0.8888888888888888,0.9130434782608695,1.0,1.0,1.0
texture-all,fecam,texture,3,53,resnet18_cifar,0.1,10,0.024035604887952408,321.41207972803386,324462.3125,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.6731787584916068,10093.08056640625,0.4426229508196721,1.0,0.0,0.2857142857142857,0.16666666666666666,1.0,1.0,1.0,0.2,0.9411764705882353
texture-all,fecam,texture,3,54,resnet18_cifar,0.05,10,0.00624614378126959,320.51125603797846,323374.75,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.50353917904431,10093.08056640625,1.0,1.0,0.0,1.0,1.0,1.0,0.7391304347826086,1.0,0.92,1.0
texture-all,fecam,texture,3,55,resnet18_cifar,0.1,10,0.15182806036124627,317.79962177498965,320489.90625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.501308966461996,10093.08056640625,0.6721311475409836,1.0,0.058823529411764705,0.5714285714285714,0.8333333333333334,0.3333333333333333,1.0,0.7619047619047619,0.56,0.0
texture-all,fecam,texture,3,56,resnet18_cifar,0.1,10,0.11633991729468107,328.2544810419786,331183.40625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.655357545959608,10093.08056640625,0.639344262295082,1.0,0.8823529411764706,0.5238095238095238,0.16666666666666666,1.0,0.8695652173913043,1.0,1.0,0.9411764705882353
texture-all,tagfex,texture,1,52,resnet18_cifar,0.05,10,0.0016105207439977675,271.5972370649397,273896.59375,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4248320457312123,10090.97607421875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
