exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc
spike-all,icarl,spike,1,69,resnet18_cifar,0.05,18,0.15531121412163085,1062.0040958939935,1067458.375,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2957921920468102,7506.59375,0.8974358974358975,0.9487179487179487,0.95,1.0,1.0,0.825,1.0,1.0,0.9487179487179487,1.0,0.5641025641025641,0.9230769230769231,0.9743589743589743,0.8974358974358975,0.717948717948718,0.9736842105263158,0.9743589743589743,0.8205128205128205
spike-all,icarl,spike,1,71,resnet18_cifar,0.05,18,0.16553613814777304,1061.8842930940082,1067287.375,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2950926773360705,7506.59375,0.9401709401709402,0.48717948717948717,0.8,1.0,1.0,0.475,1.0,1.0,1.0,0.9487179487179487,0.8717948717948718,0.6666666666666666,0.2564102564102564,0.9743589743589743,0.7435897435897436,0.8157894736842105,0.9743589743589743,0.8205128205128205
spike-all,icarl,spike,2,63,resnet18_cifar,0.05,18,0.14128944841128174,1058.148577445012,1063524.25,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2958617682470946,7505.701171875,0.9482758620689655,1.0,1.0,0.9743589743589743,0.9230769230769231,0.8461538461538461,1.0,0.9487179487179487,0.9743589743589743,0.8717948717948718,0.9743589743589743,0.717948717948718,0.8717948717948718,0.9743589743589743,0.9230769230769231,0.8717948717948718,0.9743589743589743,0.9230769230769231
spike-all,icarl,spike,2,65,resnet18_cifar,0.05,18,0.17750756619842425,1057.000729364001,1062406.375,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29490500506775025,7505.701171875,0.9137931034482759,0.717948717948718,1.0,1.0,0.9743589743589743,0.7435897435897436,0.95,1.0,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.7435897435897436,0.9230769230769231,0.7948717948717948,1.0,0.7435897435897436,0.4358974358974359,0.4358974358974359
spike-all,icarl,spike,2,67,resnet18_cifar,0.05,18,0.14541025456873183,1057.8755553660012,1063285.875,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2964462560582751,7505.701171875,0.9568965517241379,0.0,0.975,1.0,1.0,0.9743589743589743,0.925,1.0,0.7435897435897436,0.8717948717948718,1.0,0.7435897435897436,0.6666666666666666,0.9487179487179487,0.8974358974358975,0.9743589743589743,1.0,0.48717948717948717
spike-all,icarl,spike,2,69,resnet18_cifar,0.05,18,0.17489020175984202,1048.5582731959585,1053942.875,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2941020178830993,7505.701171875,0.9310344827586207,1.0,1.0,1.0,1.0,0.8461538461538461,1.0,1.0,0.7948717948717948,0.8717948717948718,0.9743589743589743,0.8205128205128205,0.9743589743589743,0.9487179487179487,0.8974358974358975,0.8974358974358975,0.9743589743589743,0.7692307692307693
spike-all,icarl,spike,2,71,resnet18_cifar,0.05,18,0.1410042852459579,1107.5239556320157,1113021.375,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2949362560603159,7505.701171875,0.9310344827586207,1.0,1.0,0.9487179487179487,0.8974358974358975,0.8717948717948718,0.925,0.9743589743589743,0.7692307692307693,0.8974358974358975,0.9487179487179487,0.6923076923076923,1.0,0.9487179487179487,0.9743589743589743,0.8717948717948718,0.9743589743589743,0.8205128205128205
spike-all,icarl,spike,3,63,resnet18_cifar,0.05,18,0.16862505795645322,1116.1928096320044,1121691.25,1504668875613.0464,55707856358692286,55707856358692286,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2950352163877751,7504.802734375,0.9914529914529915,0.41025641025641024,0.9487179487179487,0.9743589743589743,0.8461538461538461,0.9743589743589743,0.717948717948718,0.9743589743589743,0.717948717948718,0.7631578947368421,0.8,0.975,0.8717948717948718,0.7948717948717948,0.8974358974358975,1.0,0.9743589743589743,0.9743589743589743
spike-all,icarl,spike,3,65,resnet18_cifar,0.05,18,0.15210906096073587,1095.5391591109947,1100990.125,1504668875613.0464,55707856358692286,55707856358692286,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29454253778361245,7504.802734375,0.9914529914529915,0.3333333333333333,0.20512820512820512,0.8717948717948718,0.9487179487179487,1.0,0.6923076923076923,0.8461538461538461,0.6410256410256411,0.9473684210526315,1.0,0.475,0.8461538461538461,0.7435897435897436,0.7948717948717948,1.0,0.9743589743589743,0.9487179487179487
spike-all,icarl,spike,3,67,resnet18_cifar,0.05,18,0.16629385154285797,1080.6765417069837,1086146.25,1504668875613.0464,55707856358692286,55707856358692286,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29593404354816766,7504.802734375,0.9487179487179487,0.28205128205128205,0.46153846153846156,0.9743589743589743,0.9487179487179487,1.0,0.8205128205128205,0.9743589743589743,0.717948717948718,0.8947368421052632,1.0,0.75,0.8717948717948718,0.8974358974358975,0.8205128205128205,0.8717948717948718,1.0,0.7948717948717948
