exp_name,method,dataset,order,seed,backbone,lr_candidates,loss_selection,best_lr,best_loss,total_search_flops,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib
uwave-5method,ewc,uwave,3,62,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.0008984511805801517,755420973185916,44691744,6,0,0.31823512898383094,0.14174107142857142,0.9987654320987656,0.9987654320987656,-0.9987654320987656,2,0.9987654320987656,1.0,0.002469135802469147,0.9938271604938271,1.0,1.0,1.0,1.0,"[0.9938271604938271,0.25517241379310346,0.18691588785046728,0.1731066460587326,0.15864759427828348,0.14174107142857142]","[0.9938271604938271,1.0,1.0,1.0,1.0]","[-0.0030864197530864335,-0.08108108108108103,0.0,0.0,-0.024590163934426257,-0.11811023622047245]",-0.03781131683151103,512,267.7943181460723,267802.20703125,42.33644223300507,225.45787591306726,45.091575182613454,43.4519381080172,40143004534.93189,251806991061972,239837354160418,11969636901554,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03589445421831832,1133.14990234375
uwave-5method,ewc,uwave,3,63,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.00024852555448955083,755420973185916,44691744,6,0,0.31823512898383094,0.14174107142857142,0.9987654320987656,0.9987654320987656,-0.9987654320987656,2,0.9987654320987656,1.0,0.002469135802469147,0.9938271604938271,1.0,1.0,1.0,1.0,"[0.9938271604938271,0.25517241379310346,0.18691588785046728,0.1731066460587326,0.15864759427828348,0.14174107142857142]","[0.9938271604938271,1.0,1.0,1.0,1.0]","[0.0030864197530864335,-0.06306306306306309,-0.010000000000000009,0.0,-0.049180327868852514,-0.047244094488189003]",-0.02773351094450303,512,255.23932120890822,255246.861328125,37.21931642299751,218.02000478591071,43.604000957182144,41.909491161000915,40143004534.93189,251806991061972,239837354160418,11969636901554,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03603121526144345,1133.14990234375
uwave-5method,ewc,uwave,3,64,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.000266979519274047,755420973185916,44691744,6,0,0.31772072569164983,0.14174107142857142,0.9981481481481481,0.9981481481481481,-0.9981481481481481,2,0.9981481481481481,1.0,0.00370370370370372,0.9907407407407407,1.0,1.0,1.0,1.0,"[0.9907407407407407,0.25517241379310346,0.18691588785046728,0.1731066460587326,0.15864759427828348,0.14174107142857142]","[0.9907407407407407,1.0,1.0,1.0,1.0]","[0.0030864197530864335,-0.1351351351351351,-0.020000000000000018,0.0,-0.016393442622950838,-0.055118110236220486]",-0.03726004470687,512,252.988792066928,252996.259765625,36.643140729982406,216.3456513369456,43.269130267389116,41.97242492501391,40143004534.93189,251806991061972,239837354160418,11969636901554,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03651158931461396,1133.14990234375
uwave-5method,ewc,uwave,3,65,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.0016619093905957997,755420973185916,44691744,6,0,0.31823512898383094,0.14174107142857142,0.9987654320987656,0.9987654320987656,-0.9987654320987656,2,0.9987654320987656,1.0,0.002469135802469147,0.9938271604938271,1.0,1.0,1.0,1.0,"[0.9938271604938271,0.25517241379310346,0.18691588785046728,0.1731066460587326,0.15864759427828348,0.14174107142857142]","[0.9938271604938271,1.0,1.0,1.0,1.0]","[0.0030864197530864335,-0.11711711711711714,-0.010000000000000009,0.0,-0.049180327868852514,-0.015748031496062964]",-0.03149317612149103,512,253.53787432494573,253545.390625,37.157648939988576,216.38022538495716,43.27604507699143,41.82097788801184,40143004534.93189,251806991061972,239837354160418,11969636901554,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.036726150873229405,1133.14990234375
uwave-5method,ewc,uwave,3,66,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.002846804286695277,755420973185916,44691744,6,0,0.31823512898383094,0.14174107142857142,0.9987654320987656,0.9987654320987656,-0.9987654320987656,2,0.9987654320987656,1.0,0.002469135802469147,0.9938271604938271,1.0,1.0,1.0,1.0,"[0.9938271604938271,0.25517241379310346,0.18691588785046728,0.1731066460587326,0.15864759427828348,0.14174107142857142]","[0.9938271604938271,1.0,1.0,1.0,1.0]","[0.0030864197530864335,-0.027027027027026973,0.0,0.0,-0.024590163934426257,-0.007874015748031482]",-0.00940079782606638,512,255.48817649896955,255495.759765625,37.19373330299277,218.29444319597678,43.658888639195354,42.2056249770103,40143004534.93189,251806991061972,239837354160418,11969636901554,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.038453891777732806,1133.14990234375
uwave-5method,icarl,uwave,1,62,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.09784796053715226,3393712582975533,44691744,6,0,0.9741898850292953,0.9430803571428571,0.027134966633569624,0.02377444919824905,-0.02377444919824905,5,0.027134966633569624,0.023622047244094446,0.02500284370851297,0.0,0.010000000000000009,0.029325513196480912,0.07272727272727275,0.8,"[0.9970674486803519,0.9850427350427351,0.9806338028169014,0.9823529411764705,0.9569620253164557,0.9430803571428571]","[0.029325513196480912,0.023622047244094446,0.010000000000000009,0.0,0.07272727272727275]","[-0.0029325513196480912,0.007874015748031482,0.020000000000000018,0.0267857142857143,0.12727272727272732,0.05660377358490565]",0.03926727992862178,512,431.72500263591064,431737.4140625,37.98912418098189,393.73587845492875,78.74717569098576,84.6473983869655,39782749752.86264,1131237527658511,849105416877114,282132110781397,1113560584,44691744,24576000,16000,89501520,158785264,151.42942810058594,0.04322526345796567,926.439453125
uwave-5method,icarl,uwave,1,63,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.09998542592597377,3393712582975533,44691744,6,0,0.9777549533657913,0.9587053571428571,0.009316738633477262,0.007741935483870965,-0.007741935483870965,1,0.009316738633477262,0.007874015748031482,0.008717379737632423,0.0,0.0,0.018181818181818188,0.02052785923753664,0.6,"[0.9912023460410557,0.9829059829059829,0.9823943661971831,0.986764705882353,0.9645569620253165,0.9587053571428571]","[0.02052785923753664,0.007874015748031482,0.0,0.0,0.018181818181818188]","[0.0,0.007874015748031482,0.020000000000000018,0.0,0.10000000000000009,0.047169811320754707]",0.029173971178131048,512,433.71142608410446,433723.99609375,37.24096671002917,396.4704593740753,79.29409187481505,85.52967951801838,39782749752.86264,1131237527658511,849105416877114,282132110781397,1113560584,44691744,24576000,16000,89501520,158785264,151.42942810058594,0.04162979244678614,926.439453125
uwave-5method,icarl,uwave,1,64,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.10135680746769847,3393712582975533,44691744,6,0,0.9750970909695832,0.9654017857142857,0.006912046551365814,0.0006128339529406057,-0.0006128339529406057,1,0.006912046551365814,0.007874015748031482,0.0065628907530674565,0.0,0.0,0.009090909090909038,0.017595307917888547,0.6,"[0.9882697947214076,0.9743589743589743,0.977112676056338,0.9808823529411764,0.9645569620253165,0.9654017857142857]","[0.017595307917888547,0.007874015748031482,0.0,0.0,0.009090909090909038]","[0.0029325513196480912,0.03937007874015752,0.020000000000000018,0.008928571428571397,0.10000000000000009,0.028301886792452824]",0.03325551471347166,512,414.65257305203704,414664.70703125,36.34049244201742,378.3120806100196,75.66241612200392,80.66147495404584,39782749752.86264,1131237527658511,849105416877114,282132110781397,1113560584,44691744,24576000,16000,89501520,158785264,151.42942810058594,0.038539838182519555,926.439453125
uwave-5method,icarl,uwave,1,65,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.10491365272651966,3393712582975533,44691744,6,0,0.9787679642010713,0.9654017857142857,0.0090408924324342,0.0017681651597069247,-0.0017681651597069247,1,0.0090408924324342,0.008928571428571397,0.008251353934451982,0.0,0.0,0.015748031496062964,0.02052785923753664,0.6,"[0.9912023460410557,0.9893162393162394,0.9806338028169014,0.9852941176470589,0.9607594936708861,0.9654017857142857]","[0.02052785923753664,0.015748031496062964,0.0,0.008928571428571397,0.0]","[0.0029325513196480912,0.0,0.020000000000000018,0.0,0.1454545454545455,0.009433962264150941]",0.029636843173057426,512,408.7203673389158,408732.1953125,35.41926781699294,373.3010995219229,74.66021990438458,80.33992830401985,39782749752.86264,1131237527658511,849105416877114,282132110781397,1113560584,44691744,24576000,16000,89501520,158785264,151.42942810058594,0.03791294186937323,926.439453125
uwave-5method,icarl,uwave,1,66,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.10640198463526993,3393712582975533,44691744,6,0,0.9747762993987951,0.9553571428571429,0.0056803749971136245,-0.005228715911977289,0.005228715911977289,1,0.0056803749971136245,0.0,0.008025706552537266,0.0,0.0,0.007874015748031482,0.02052785923753664,0.4,"[0.9912023460410557,0.9850427350427351,0.9823943661971831,0.9852941176470589,0.9493670886075949,0.9553571428571429]","[0.02052785923753664,0.007874015748031482,0.0,0.0,0.0]","[0.0029325513196480912,0.0,0.0,0.0,0.21818181818181825,0.047169811320754707]",0.04471403013703684,512,401.78639011696214,401798.04296875,35.31936858303379,366.46702153392835,73.29340430678567,78.81246302399086,39782749752.86264,1131237527658511,849105416877114,282132110781397,1113560584,44691744,24576000,16000,89501520,158785264,151.42942810058594,0.03888133707213066,926.439453125
